IDCompLib,IDCompType,Model,HP,RatedCapacity,RatedPressure,MaxFullFlowPressure,IDControlType,UnloadPoint,MinULSumpPressure,BlowdownTime,UnloadSteps,ModulatingPressRange,PowerFLBHP,TotPackageInputPower,SpecPackagePower,NoLoadPowerFM,NoLoadPowerUL,MaxSurgePressure,MaxPressSurgeFlow,MinStonewallPressure,MinPressStonewallFlow,DesignSurgeFlow,DesignInTemp,DesignInPressure,AmpsFL,EffFL
152,1,30 hp/22 kW,30,98,175,175,2,50,15,40,2,20,33,27.10000038,27.60000038,65,20,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
153,1,30 hp/22 kW,30,98,175,175,3,40,15,40,2,16.66699982,33,27.10000038,27.60000038,57,20,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
154,1,30 hp/22 kW,30,93,175,185,4,100,15,40,2,-9999,31.5,25.79999924,27.60000038,-9999,20,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
156,1,30 hp/22 kW,30,74,200,210,1,50,15,40,2,5,31.5,25.79999924,35,65,18,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
157,1,30 hp/22 kW,30,77,200,200,2,50,15,40,2,20,33,27.10000038,35,65,18,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
158,1,30 hp/22 kW,30,77,200,200,3,40,15,40,2,16.66699982,33,27.10000038,35,57,18,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
159,1,30 hp/22 kW,30,74,200,210,4,100,15,40,2,-9999,31.5,25.79999924,35,-9999,18,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
161,1,40 hp/30 kW,40,178,100,110,1,50,15,40,2,5,42,34.70000076,19.5,65,20,-9999,-9999,-9999,-9999,-9999,68,14.5,50.5,90.19999695
162,1,40 hp/30 kW,40,187,100,100,2,50,15,40,2,20,44,36.40000153,19.5,65,20,-9999,-9999,-9999,-9999,-9999,68,14.5,50.5,90.19999695
163,1,40 hp/30 kW,40,187,100,100,3,40,15,40,2,16.66699982,44,36.40000153,19.5,57,20,-9999,-9999,-9999,-9999,-9999,68,14.5,50.5,90.19999695
164,1,40 hp/30 kW,40,178,100,110,4,100,15,40,2,-9999,42,34.70000076,19.5,-9999,20,-9999,-9999,-9999,-9999,-9999,68,14.5,50.5,90.19999695
166,1,40 hp/30 kW,40,166,115,125,1,50,15,40,2,5,42,34.70000076,21,65,20,-9999,-9999,-9999,-9999,-9999,68,14.5,50.5,90.19999695
167,1,40 hp/30 kW,40,174,115,115,2,50,15,40,2,20,44,36.40000153,21,65,20,-9999,-9999,-9999,-9999,-9999,68,14.5,50.5,90.19999695
168,1,40 hp/30 kW,40,174,115,115,3,40,15,40,2,16.66699982,44,36.40000153,21,57,20,-9999,-9999,-9999,-9999,-9999,68,14.5,50.5,90.19999695
